,title,authors,venue,year,unique_id
873,supporting multiple access control policies in database systems,"e bertino , s jajodia , p samarati",,,873
874,polynomial filtering in latent semantic indexing for information retrieval,"e kokiopoulou , y saad","proceedings of acm sigir ,",2004.0,874
875,book review column,aao approach,"sigmod record ,",2002.0,875
876,continuous queries over data streams,"s balu , j widom",,,876
877,safely and efficiently update references during on-line reorganization,"c zou , b salzberg",,,877
878,w3qs : a querysystem fortheworld-wide web,dko shmueli,intl. conference on very large data bases,,878
879,the design and performance evaluation ofalternative xml storage strategies,"f tian , d dewitt , jj chenâ ? ¦","wisconsin university ,",,879
880,orientstore : a schema based native xml storage system,"x meng , d luo , ml lee , j an","vldb ,",2003.0,880
881,fastalgorithmsformining association rules,rar srikant,"proc . of the vldb conference , santiago , chile , september ,",,881
882,"changes , challenges , and the future","pa lawler , kp king","new directions for adult and continuing education ,",2003.0,882
883,"university of illinois , urbana",ms bsee,"ph. d. , university of california , santa",,883
884,database research at the ibm almaden research center,"lm haas , pg selinger","sigmod record ,",1991.0,884
885,optimizing existential datalog queries,r ramakrishnan,"proceedings of the seventh acm sigact-sigmod-sigart & hellip ; ,",1988.0,885
886,performance of a database manager in a virtual memory system,"sw sherman , rs brice","acm transactions on database systems ,",1976.0,886
887,statistical synopses for graph-structured data,"n polyzotis , m garofalakis","proceedings of sigmod ,",,887
888,editorial,p smyth,"bt technology journal ,",2003.0,888
889,data structuring in the ddl and relational data model,gm nijssen,"ifip working conference data base management ,",,889
890,a. crespo : extracting semistructured information from the web,"j hammer , h garcia-molina , j cho , r aranha","sigmod record ,",,890
891,a multi-channel mac protocol for ad hoc wireless networks,"j so , nh vaidya",,,891
892,merging models based on given correspondences,"pa bernstein , ra pottinger","proc . 29th vldb conference , berlin",,892
893,advanced user interfaces for database systems,y ioanmdis,"acm sigmod record ,",,893
894,combinatorial auctions for resource allocation in a distributed sensor network,"j ostwald , v lesser , s abdallah",,,894
895,multiway spatial joins,"n mamoulis , d papadias","acm transactions on database systems ,",2001.0,895
896,the ccube constraint object-oriented database,"a brodsky , ve segal , j chen , pa exarkhopoulo",proc . acm sigmod conf . on management of,,896
897,a predicate-based caching scheme for client-server database architectures,"am keller , j basu","the vldb journal the international journal on very large & hellip ; ,",1996.0,897
898,"oodb indexing by class division , apic series","s ramaswamy , p kanellakis",,1995.0,898
899,on the minimization of xpath queries,"s flesca , f furfaro , e masciari","proceedings of the international conference on very large & hellip ; ,",2003.0,899
900,wavelet synopses for general error metrics,"m garofalakis , a kumar",,,900
901,"yanker , p. query by image and video content : the qbic system","m flickner , h sawhney , w niblack , j ashley , q","ieee computer ,",,901
902,d. suciu storing semistructured data with stored,"a deustsch , m fernandez","sigmod int &#39; s conf . on management of data ,",,902
903,an efficient hash based algorithm for mining association rules,"js park , ms chen , ps yu","proc . acm sigmod intâ ?? l conf . on management of data ,",,903
904,fault tolerant design of multimedia servers,"sbl golubchik , rr muntz","i > sigmod record , < / i ,",,904
905,slicing the value dependence graph,md ernst,"technical report msr-tr-94-22 , microsoft research , redmond , wa ,",,905
906,composite object support in an object-oriented database system,"w kim871 kim , j banejee , h chou , j garza , d woelk","proc . acm , oopsla , october ,",,906
907,a tsql2 tutorial,rt snodgrassâ ? ¦,"sigmod record ,",1994.0,907
908,metadata in video databases,"r jam , a hampapur","sigmod record ( acm spectal interest group on management of & hellip ; ,",,908
909,the new middleware,r finkelstein,"acm sigmod record ,",1995.0,909
910,estimation of count queries in relational databases,"wc hou , g ozsoyoglu , e dogdu","acm sigmod conference , may ,",,910
911,temporal reasoning in active databases,i motakis,,1997.0,911
912,index concurrency control in firm real-time databases,sr narayanan,,1997.0,912
913,"mining frequent patterns without candidate generation , ( slides )","j han , j pei , y yin","proc of ,",,913
914,infomaster : an information integration system,"mr genesereth , am keller , om duschka",,,914
915,part-based shape retrieval,"m tanase , rc veltkamp",,,915
916,query optimization by predicate move-around,"aylis mumick , y sagiv",,,916
917,semantic modeling of object oriented databases,m bouzeghoub,"vldb ,",1991.0,917
918,fuy ( 1995 ) discovery of multiple-level association rules from large databases,j han,proc . 21st international conference on very large data,,918
919,near neighbor search in large metric spaces,s brin,"vldb ,",1995.0,919
920,texor : temporal xml database on an object-relational database system,"k nã ¸ rvag , m limstrand , l myklebust","submitted for publication ,",2002.0,920
921,an interactive query language for external data bases,"fh lochovsky , d tsichritzis","vldb ,",1982.0,921
922,new programs at darpa and nsf .,x qian,"sigmod record ,",1996.0,922
923,towards on-line analytical mining in large databases,j han,"sigmod record ,",1998.0,923
924,"a query language for multidimensional arrays : design , implementation , and optimization techniques",l libkin,"sigmod conference ,",1996.0,924
925,mt 2003 . processing sliding window multi-joins in continuous queries over data streams,lo golab,proc . of the conf . on very large databases,,925
926,prefer : a system for the efficient execution of multi-parametric ranked queries,"v hristidis , n koudas , y papakonstantinou","sigmod conference ,",2001.0,926
927,a system for watermarking relational databases,"r agrawal , pj haas , j kiernan",,,927
928,mining quantitative association rules in large relational tables,"r agrawal , r srikant",,1996.0,928
929,on computing correlated aggregates over continuous data streams,"j gehrke , f korn , d srivastava",,,929
930,data grid management systems,"rw moore , a jagatheesan",,,930
931,querying text databases for efficient information extraction,"e agichtein , l gravano",,,931
932,mixed concurrency control : dealing with heterogeneity in distributed database systems,"jf pons , jf vilarem","vldb ,",1988.0,932
933,ensuring semi-atomicity for flexible transactions in multi-database system,"a zhang , m nordine , b bhargava , o bukhres",proc . sigmod,,933
934,schema and ontology matching with coma + +,"d aumueller , hh do , s massmann , e rahm","proceedings of the 2005 acm sigmod international conference & hellip ; ,",2005.0,934
935,goal-oriented buffer management revisited,"kp brown , mj carey , m livny","proceedings of the 1996 acm sigmod international conference & hellip ; ,",1996.0,935
936,dan suciu stream processing xpath quedes with predicates,ak gupta,,2003.0,936
937,converting relational to object-oriented databases,j fong,"sigmod record ,",1997.0,937
938,semanticmodelling of object-oriented databases,mbe m & de,"hoe . vldb ,",,938
939,combining multi-visual features for efficient indexing in a large image database,"ahh ngu , qz sheng , dq huynh , r lei","the vldb journal the international journal on very large & hellip ; ,",2001.0,939
940,mining multi-terabyte astronomy archives : the sloan digital sky survey proc . of the conference on,"szalay , pz kunszt , a thakar , j gray , drs designing","dallas ,",,940
941,nulls in relational databases : revisited,r kocharekar,"sigmod record ,",,941
942,rainforestâ ?? a framework for fast decision tree construction of large datasets,"j gehrke , r ramakrishnan , v ganti","data mining and knowledge discovery ,",2000.0,942
943,the lham log-structured history data access method,"p muth , po ` neil , a pick , g weikum","the vldb journal the international journal on very large & hellip ; ,",2000.0,943
944,locking protocols for concurrency control in real-time database systems,"sl hung , ky lam","acm sigmod record ,",1992.0,944
945,database programming languages : a functional approach,j annevelink,,,945
946,ozone : integrating structured and semistructured data,"t lahiri , s abiteboul , j widom","lecture notes in computer science ,",2000.0,946
947,qursed : querying and reporting semistructured data,"y papakonstantinou , m petropoulos , v vassalos",,,947
948,performance analysis of a temporal database management system,"i ahn , rt snodgrass","proceedings of acm sigmod , washington , dc ,",,948
949,optimization with user-defined predicates,"s chaudhuri , k shim","proceedings of the 22nd international conference on very & hellip ; ,",,949
950,editors ' notes,"r picciotto , rc rist","new directions for program evaluation ,",1995.0,950
951,template-based wrappers in the tsimmis experience,"j hammer , h garcia-molina , s nestorov , r yerneni ,",proceedings of the acm sigmod international conference on,,951
952,mocha : a self-extensible database middleware system for distributed data sources,"mr martinez , n roussopoulos","acm sigmod international conference on management of data ,",,952
953,tales from warehouse,j ambrosio,"computerworld ,",,953
954,power efficient data gathering and aggregation in wireless senor network,"ho tan , i korpeoglu",proceedings of acm,,954
955,database research at the data-intensive systems center,"d maier , l delcambre , c pu , j walpole , g graefe ,","sigmod record ,",1993.0,955
956,"et . ai. , '' the cedar database management system , ''",m brown,"proc . 1981 acm-sigmod conference on management of data , ann & hellip ; ,",,956
957,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,,957
958,the legion resource management system,"sj chapin , d katramatos , j karpovich , as grimshaw","lecture notes in computer science ,",1999.0,958
959,semantics for update rule programs and implementation in a relational database management system,"l raschid , j lobo",,1996.0,959
960,editorial,"j regnault , r temple","bt technology journal ,",2001.0,960
961,editor 's notes,te cyrs,"new directions for teaching and learning ,",,961
962,strudel : a web-site management system,"m fernandez , j kang , a levy , d suciu",,,962
963,retrospection on a database system,m stonebraker,"acm transactions on database systems ,",1980.0,963
964,srikant . fast algorithmsformining association rules,r agrawal andr,"proceedings of the 20th international conference on very & hellip ; ,",,964
965,database research at columbia university,"sf chang , l gravano , ge kaiser , ka ross , sj stolfo","sigmod record ,",1998.0,965
966,editor 's notes,r goldstein,"the american statistician ,",1996.0,966
967,guest editor 's introduction,portal.acm.org,,,967
968,a cost model for nearest neighbor search in high-dimensional data space,"s berchtold , hp kriegel",,,968
969,efficient algorithm for evaluating multiple xpath expressions,"m yuriyama , h nakamura",vldb,,969
970,optimizing queries over multimedia repositories,"s chaudhuri , l gravano",,,970
971,a language based multidatabase system,"e kã 1/4 hn , t tschernko , k schwarz","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0,971
972,star-cubing : computing iceberg cubes by top-down and bottom-up integration,"d xin , j han , x li , bw wah","proceedings of the international conference on very large & hellip ; ,",2003.0,972
973,optimization of nonrecursive queries,"r krishnamurthy , h boral , c zaniolo","vldb ,",1986.0,973
974,ã cents â ? ¬ å?catching the boat with strudel : experiences with a web-site management systemã cents â ? ¬ â ?,"mf fernandez , d florescu , j kang , ay levy , d suciu",proc . of the acm sigmod,,974
975,special section on advanced xml data processing,k aberer,"acm sigmod record ,",,975
976,xsq : streaming xpath queries,"f peng , ss chawathe",,,976
977,the evolution of effective b-tree : page organization and techniques : a personal account,d lomet,"sigmod record ,",2001.0,977
978,computer technology and the database user,tc chen,"vldb surveys ,",,978
979,hybrid transitive closure algorithms,"r agrawal , hv jagadish","vldb ,",1990.0,979
980,â ?? on the design of a query strategy in a distributed database environment,"ct yv , cc chang","acm proceedings of sigmod ,",,980
981,reminiscences of an indian official,o cavenagh,,1884.0,981
982,view indexing in relational databases,n roussopoulos,"acm transactions on database systems ,",1982.0,982
983,construction of relations in relational databases,el lozinskii,"acm transactions on database systems ,",1980.0,983
984,extracting entity profiles from semistructured information spaces,"ra nado , sb huffman","sigmod record ,",1997.0,984
985,optimal histograms with quality guarantees,"s muthukrishnan , v poosala , t suel","bell labs technical report , may 1998 . [ or861 f. olken and d.",,985
986,improving query optimization for disjunctive datalog,"c cumbo , w faber , g greco",,,986
987,"transaction management in an object-oriented database system , acm sigmod int","j garza , w kim","conf . on management of data , chicago , illinois ,",,987
988,schema evolution in object-oriented database systems,"gt nguyen , d rieu","data & knowledge engineering ,",1989.0,988
989,"mp and morris on , r. 1995 . orthogonally persistent systems",on atkins,the vldb,,989
990,query processing in a distributed relational database system,"r epstein , m stonebraker , e wong","proceedings of the acm sigmod conference on management of & hellip ; ,",,990
991,query execution and index selection for relational data bases,"g farley , sa schuster","vldb ,",1975.0,991
992,to weawe the web,"p atzeni , g meccca , p merialdo","proc . 23 rdint . conf . on vldb ( vldb ,",,992
993,the araneus web-base management system,"g mecca , p atzeni , a masci , p merialdo , g sindoni",,,993
994,editor 's notes,"dj rog , d fournier","new directions for program evaluation ,",,994
995,the optimization strategy for query evaluation in rdb/v1,"a makinouchi , m tezuka , h kitakami , s adachi","vldb ,",1981.0,995
996,real-time communication in cim systems using fddi,"p werahera , a jayasumana",as international conference on technical,,996
997,improved query performance with variant indexes,", d quass",,,997
998,data grid management systems,"rw moore , a jagatheesan",,,998
999,r. agrawal mining quantitative association rules in large relational tables,r srikant,proc . 1996 . i c. \ \ i-sig . \ \ iod int . c &#39; on f. . \ \ lanagernent of,,999
1000,quotient cube : how to summarize the semantics of a data cube,"lvs lakshmanan , j pei , j han","vldb ,",2002.0,1000
1001,enterprise modeling and data warehousing in telecom italia,"d calvanese , l dragone , d nardi , r rosati , sm",,,1001
1002,"j , hammer , j. widom . view maintenance in a warehousing environment","y zhuge , h garcia-molina",proc . of the acm sigmod intl. conf . on management of,,1002
1003,infomaster-an information integration tool,"om duschka , mr genesereth",,,1003
1004,storage estimation for multidimensional aggregates in the presence of hierarchies,"a shukla , p deshpande","vldb ,",1996.0,1004
1005,computation of multidimensional aggregates,"pm deshpande , s agarwal , jf naughton , r",,,1005
1006,query optimization algorithm for semistructured data,"d florescu , a levy , d suciu","submitted for publication ,",,1006
1007,editorial,"s garrett , d sheat","bt technology journal ,",2002.0,1007
1008,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0,1008
1009,language features for interoperability of databases with schematic differences,"r krishnamurthy , w litwin , w kent","proc . acmsigmod ,",,1009
1010,principles of distributed database systems,", p valduriez",prentice,,1010
1011,approximating aggregate queries about web pages via random walks,"z bar-yossef , a berg , s chien , j fakcharoenphol , d","vldb ,",2000.0,1011
1012,optimizing multi-feature queries for image databases,wt balke,,,1012
1013,indexing semistructured data,"j mchugh , j widom , s abiteboul , q luo , a rajaraman",,,1013
1014,j. wid om . lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass","sigmod record ,",,1014
1015,mining fuzzy association rules in databases,"cm kuok , a fu , mh wong , nt shatin , h kong",,,1015
1016,processing complex aggregate queries over data streams,"d alin , g minos , g johannes , r rajeev","proc . of the 2002 acm sigmod intl. conf . on management of & hellip ; ,",2002.0,1016
1017,database hosting in strongly-typed programming languages,"m bever , pc lockemann","acm transactions on database systems ,",1985.0,1017
1018,a query model for object-oriented databases,w krm,proceedings of the international conference on very large,,1018
1019,secure transaction processing in firm real-time database systems,"b george , j haritsa","sigmod conference ,",1997.0,1019
1020,clustering methods for large databases : from the past to the future,"da keim , a hinneburg","sigmod conference , philadelphia ,",,1020
1021,dtd-directed publishing with attribute translation grammars,"mbcyc wenfei , fr rastogi , sza zhou",,,1021
1022,"lopez. , m. : indexing the position of continuously moving objects","s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,,1022
1023,insight into object-oriented databases,s khoshafian,"information and software technology ,",1990.0,1023
1024,mining quantitative association rules in large tables,"r srikant , r agrawal",,,1024
1025,metu object-oriented dbms kernel,"a dogac , a altinel , c ozkan","proc . of intl. conf on database and expert systems & hellip ; ,",1995.0,1025
1026,"andb . eftring , deeds : towards a distributed and active real-time database systems","sf andler , j hansson , j eriksson , j mellin , m","acm sigmod record ,",,1026
1027,the pyramid-technique : towards breaking the curse of dimensional data spaces,"s berchtold , d keim , hp kriegel","proc . acm sigmod int . conf . managment of data , seattle ,",,1027
1028,guest editorial,mp atkinson,"the vldb journal the international journal on very large & hellip ; ,",2000.0,1028
1029,& lgr ; - db : an odmg-based object-oriented dbms,"l fegaras , c srinivasan , a rajendran , d maier",proceedings of the 2000 acm sigmod international conference,,1029
1030,decomposition and composition of a relational database,"y tanaka , t tsuda","vldb ,",1977.0,1030
1031,the onion technique : indexing for linear optimization queries,"yc chang , l bergman , v castelli , cs li , ml lo , jr","sigmod conference ,",2000.0,1031
1032,craig knoblock-wrapper generation for semi-structured internet sourcesâ ?? proc,n ashish,"workshop on management of semi-structured data , tucson , & hellip ; ,",,1032
1033,physical database design for relational databases,"s finkelstein , m schkolnick , p tiberio","acm transactions on database systems ,",1988.0,1033
1034,ptool : a light weight persistent object manager,"rl grossman , d hanley , x qin",,,1034
1035,query flocks : a generalization of association-rule mining,"s abitboul , c clifton , r motwani , s nestorov , d",& hellip ; of the acm international conference on management of data (,,1035
1036,concurrency control and recovery for balanced b-link trees,"i jaluta , s sippu , e soisalon-soininen","the vldb journal the international journal on very large & hellip ; ,",2005.0,1036
1037,guest editor 's introduction,y singer,"machine learning ,",2001.0,1037
1038,query processing in a distributed relational database system,"r epstein , m stonebraker , e wong","proceedings of the acm sigmod conference on management of & hellip ; ,",,1038
1039,a distributed multimedia authoring environment,"l hardman , g van rossum , dca bulterman","proceedings of acm multimedia ,",,1039
1040,join operations in temporal databases,"d gao , cs jensen , rt snodgrass , md soo","the vldb journal the international journal on very large & hellip ; ,",2005.0,1040
1041,multimedia database management systems,a ghafoo17,"acm computing surveys ,",1995.0,1041
1042,"scalable , distributed and dynamic mining of association rules","vs ananthanarayana , dk subramanian , mn murty",,,1042
1043,updating relational databases through object-based views,"a keller , t barsalou , n siambela , g wiederhold","proc . acm sigmod ,",,1043
1044,"ã cents â ? ¬ å?from nested-loop to join queries in oodb , ''","hj steenhagen , pmg apers , hm blanken , ra de by","proceedings of twentieth international conference on very & hellip ; ,",,1044
1045,guest editorial,c allocchio,"computer networks ,",2000.0,1045
1046,srikant . fast algorithmsformining association rules,r agrawal andr,"proceedings of the 20th international conference on very & hellip ; ,",,1046
1047,query processing in main memory database systems,"tj lehman , mj carey",proc . of the acm sigmod intâ ?? l. conf . on management of,,1047
1048,efficient data mining for web navigation patterns,"d xing , j shen",,,1048
1049,efficient aggregation algorithms for compressed data warehouses,"j li , j srivastava","ieee transactions on knowledge and data engineering ,",2002.0,1049
1050,a data transformation system for biological data sources,"p buneman , sb davidson , k hart , c overton , l wong","vldb ,",1995.0,1050
1051,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar","sigmod conference ,",2003.0,1051
1052,the push for proof of information systems payoff,ml sullivan-trainor,"computerworld ,",,1052
1053,future directions of database research,"hj schek , ml brodieâ ? ¦","vldb , cairo ,",,1053
1054,efficiently publishing xml views of relational databases,"j shanmugasundaram , e shekita , r barr","proc . of vldb ,",,1054
1055,"automated selection of materialized views and indexes for sql databases , materialized view selection","s agrawal , s chaudhuri , v narasayya","proc . of vldb , roma , italy ,",,1055
1056,efficient retrieval of similar shapes,"d rafiei , ao mendelzon","the vldb journal the international journal on very large & hellip ; ,",2002.0,1056
1057,partitioned garbage collection of a large object store,"u maheshwari , b liskov",,,1057
1058,formal approach to hypertext system based on object-oriented database system,"p hitchcock , b wang","information and software technology ,",1992.0,1058
1059,aformalism for extended transaction models,pkck ramamritam,"proc . of 17th vldb conference ,",,1059
1060,object-oriented querrying of existing relational databases,"da keim , hp kriegel , a miethsam",,,1060
1061,editor 's notes,l sechrest,"new directions for program evaluation ,",1993.0,1061
1062,temporal coalescing,"mh bohlen , rt snodgrass , md soo","proceedings of the international conference on very large & hellip ; ,",,1062
1063,lore : a database management system for semistructured data,"j mchugh , s abiteboul , r goldman , d quass , j widom","sigmod record ,",1997.0,1063
1064,towards an effective calculus for object query languages,"l fegaras , d maier","sigmod conference ,",1995.0,1064
1065,bridging heterogeneity : research and practice of database middleware technology,"f de ferreira rezende , g sauter , ag daimler-benz","proceedings of the 24rd international conference on very & hellip ; ,",1998.0,1065
1066,the danger of replication and a solution,"g jim , h pat , o patrick , s dennis",procs . of acm sigmod international conf . on management of,,1066
1067,aries/csa : a method for database recovery in client-server architectures,"c mohan , i narang",,1994.0,1067
1068,principles of distributed database systems,", p valduriez",prentice,,1068
1069,fas-a freshness-sensitive coordination middleware for a cluster of olap components,"u rohm , k bohm , hj schek , h schuldt","int . conf . on very large data bases ,",2002.0,1069
1070,cure : an efficient clustering algorithm for large data databases,"s guha , r rastogi , k shim","proc . of the acm sigmod ,",,1070
1071,the software information base : a server for reuse,"p constantopoulos , m jarke , j mylopoulos , y","the vldb journal the international journal on very large & hellip ; ,",1995.0,1071
1072,constraints on null values in relational databases,bs goldstein,"vldb ,",1981.0,1072
1073,"a. : 1993 , mining association rules between sets of items in large databases","ri agrawal , t swami",proceedings of the 1993 acm sigmod international conference,,1073
1074,towards a general theory of the digital library,m collier,,,1074
1075,database management systems,"r ramakrishnan , j gehrke",,2002.0,1075
1076,semint : a system prototype for semantic integration in heterogeneous databases,"ws li , c clifton","proceedings of the 1995 acm sigmod international conference & hellip ; ,",1995.0,1076
1077,dynamic xml documents with distribution and replication,"s abiteboul , a bonifati , g cobena , i manolescu , t","sigmod conference ,",2003.0,1077
1078,extending odmg for federated database systems,e radeke,,,1078
1079,query evaluation and optimization in deductive and object-oriented spatial databases,"w lu , j han","information and software technology ,",1995.0,1079
1080,i ching : an annotated bibliography,"ea hacker , s moore , l patsco",,2002.0,1080
1081,secure transaction processing in firm real-time database systems,"b george , j haritsa","sigmod conference ,",1997.0,1081
1082,incremental view maintenance in extended relational databases,jv harrison,"information and software technology ,",1995.0,1082
1083,a graphical notebook as interaction metaphor for querying databases,"sf silva , t catarci , u schiel",,,1083
1084,a system for effective content based image retrieval,"ya aslandogan , c thier , c yu","proceedings of the fourth acm international conference on & hellip ; ,",1997.0,1084
1085,a framework for projected clustering of high dimensional data streams,c aggarwal,"proceedings of the international conference on very large & hellip ; ,",2004.0,1085
1086,on similarity-based queries for time series data,d rafiei,,,1086
1087,the o2 object-oriented database system,f bancilhon,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,1087
1088,guest editorial,aw czarnik,"acc . chem . res ,",,1088
1089,c and lam s. authentication for distributed systems,t woo,"ieee computer ,",,1089
1090,integrity checking in deductive databases,"r kowalsky , f sadri , p soper","proc . of the 13th vldb , brighton ,",,1090
1091,reminiscences on influential papers,e bertino,"acm transactions on database systems ,",1976.0,1091
1092,tam : a system for dynamic transactional activity management,t zhou,"sigmod conference ,",1999.0,1092
1093,the wasa approach to workflow management for scientij,"g vossen , m weske","applications . in : a. dogac , l. kahnichenko , mt zsu , a. sheth",,1093
1094,the active database management systems manifesto,"kr dittrich , s gatziu , a geppert","sigmod record ,",,1094
1095,on the semantics of the relational data model,jr swenson,"proceedings acm sigmod conference , san jose ,",,1095
1096,querying heterogeneous information sources using source definitions,"ay levy , a rajaraman , jj ordille","proc . 22nd vldb conference , bombay , india ,",,1096
1097,view management in distributed data base systems,"e bertino , lm haas , bg lindsay","vldb ,",1983.0,1097
1098,"olap , relational , and multidimensional database system",g coliat,,1996.0,1098
1099,systematic development of data mining-based data quality tools,"d luebbers , u grimmer , m jarke","proceedings of the international conference on very large & hellip ; ,",2003.0,1099
1100,preface to special issue on persistent object systems,"m atkinson , r morrison","the vldb journal the international journal on very large & hellip ; ,",1995.0,1100
1101,extensible database management systems,"mj carey , lm haas","sigmod record ,",1990.0,1101
1102,view management in multimedia databases,"ks candan , e lemar , vs subrahmanian","the vldb journal the international journal on very large & hellip ; ,",2000.0,1102
1103,sampling-based estimation of the number of distinct values of an attribute,"pj haas , jf naughton , s seshadri , l stokes","vldb ,",1995.0,1103
1104,an overview of the stanford real-time information processor,"b adelberg , b kao , h garcia-molina","acm sigmod record ,",,1104
1105,horizontal data partitioning in database systems,"s ceri , m negri , g pelagatti",proc . of the acm sigmod international conference on,,1105
1106,b 2 b interactions : issues and enabling technologies,"b medjahed , b benatalla , a bouguettaya , ahh ngu ,","the vldb journal ,",,1106
1107,design principles for data-intensive web sites,"s ceri , p fraternali , s paraboschi","sigmod record ,",1999.0,1107
1108,masking system crashes in database applications,"j freytag , f cristian , b kaehler","proc . intl. conf . on very large data bases , sep ,",,1108
1109,ispp announcements,igs complimentary,,,1109
1110,sqlj : java and relational databases,g clossman,,1998.0,1110
1111,oz + : an object-oriented database system,"sp weiser , fh lochovsky","acm press frontier series ,",1989.0,1111
1112,semi-structured data extraction from heterogeneous sources,"x gao , l sterling",,,1112
1113,an integration framework for sensor networks and data stream management systems,"dj abadi , w lindner , s madden , j schuler","proceedings of the international conference on very large & hellip ; ,",2004.0,1113
1114,an efficient algorithm for mining association in large databases,"a savasere , e omiecinski , s navathe",,,1114
1115,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski","proceedings of the international conference on very large & hellip ; ,",1995.0,1115
1116,spade : an efficient algorithm for mining frequent sequence,jz mohammed,"& hellip ; learning journal , special issue on unsupervised learning ,",,1116
1117,selectivity estimation for boolean queries,"z chen , s muthukrishnan",,,1117
1118,guest editorial,c allocchio,"computer networks ,",2000.0,1118
1119,user interface tools,"ba myers , dr olsen jr , jg bonar",proceedings of acm,,1119
1120,the cedar database management system,m brownâ ? ¦,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",,1120
1121,the failure and recovery problem for replicated databases,"pa bernstein , n goodman","proceedings of the second annual acm symposium on principles & hellip ; ,",1983.0,1121
1122,query processing strategies in the pascal/r relational database management system,"m jarke , jw schmidt","proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0,1122
1123,recovery protocols for shared memory database systems,"ld molesky , k ramamritham","sigmod conference ,",1995.0,1123
1124,quotient cube and qc-tree : efficient summarizations for semantic olap,y zhao,,2003.0,1124
1125,optimization techniques for queries with expensive methods,jm hellerstein,"acm transactions on database systems ,",1998.0,1125
1126,eos : exactly-once e-service middleware,"g shegalov , g weikum , rs barga , db lomet","vldb ,",2002.0,1126
1127,multi-resource parallel query scheduling and optimization,"mn garofalakis , ye ioannidis",,,1127
1128,an object-oriented sgml/hytime compliant multimedia database management system,"mt oezsu , p iglinski , d szafron , s el-medani , m",,,1128
1129,techniques and applications,"s castano , v de antonellis , mg fugini , b pernici ,","on acm transactions on database systems ,",,1129
1130,continuous querying in database-centric web applications,"jc shafer , r agrawal","www9 / computer networks ,",2000.0,1130
1131,avoiding sorting and grouping in processing queries,"x wang , m cherniack","proceedings of the international conference on very large & hellip ; ,",2003.0,1131
1132,panel : user interfaces and database management systems,"tl anderson , g ariav","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0,1132
1133,integration of external object services into deductive object-oriented database,u kulkarni,,2000.0,1133
1134,query processing in sensor networks,"y yao , j gehrke",,,1134
1135,dwms : data warehouse management system,n mohan,"proceedings of the international conference on very large & hellip ; ,",1996.0,1135
1136,mt 2003 . processing sliding window multi-joins in continuous queries over data streams,lo golab,proc . of the conf . on very large databases,,1136
1137,semantics of interaction,s abramsky,"lecture notes in computer science ,",1996.0,1137
1138,improving paging performance with object prefetching,"n saboo , lv kale",,,1138
1139,the ores temporal database management system,"b theodoulidis , a ait-braham , g andrianopoulos , j",proc . acm sigmod int &#39; l conf . management of,,1139
1140,an introduction to spatial database systems,portal.acm.org,,1994.0,1140
1141,workshop report : international workshop on distributed object management,"mt ã?zsu , u dayal , p valduriez","acm sigmod record ,",1993.0,1141
1142,complex spatio-temporal pattern queries,"m hadjieleftheriou , g kollios , p bakalov , vj","proceedings of the 31st international conference on very & hellip ; ,",2005.0,1142
1143,event specification in an active object-oriented database,"nh gehani , hv jagadish , o shmueli",,,1143
1144,incomplete information in relational temporal databases,k shashi,"proc . of the 18th vldb conference ,",,1144
1145,privacy preserving data mining,"y lindell , b pinkas","journal of cryptology ,",2002.0,1145
1146,incremental maintenance of materialized path query views,"ea rundensteiner , ha kuno , y zhou",,,1146
1147,database research at columbia university .,acms anthology,"sigmod record ,",1998.0,1147
1148,an index structure for high-dimensional data,"s berchtold , da keim , hp kriegel","procs . of the 22nd vldb conference ,",,1148
1149,on semantic query optimization in deductive databases,"lvs lakshmanan , r missaoui",,,1149
1150,effects of locking granularity in a database management system,"dr ries , m stonebraker","acm transactions on database systems ,",1977.0,1150
1151,improving the performance of cgi compliant database gateways,"s hadjiefthymiades , d martakos","www6 / computer networks ,",1997.0,1151
1152,birch : an efficient data clustering method for very large databases,tzrrm livny,,1998.0,1152
1153,extended wavelets for multiple measures,"a deligiannakis , n roussopoulos",,,1153
1154,semantics and implementation of schema evolution in object-oriented databases proc . of acm-sigmod,"j banerjee , w kim , hk kim , hf korth","conf . om management of data , san francisco ca , may ,",,1154
1155,parallel database systems in the 1990 's,mj carey,acm computing surveys,,1155
1156,optimization of queries with user-defined predicates,"s chaudhuri , k shim","acm transactions on database systems ,",1999.0,1156
1157,towards a cooperative activity model-the coopertive activity model,"m rusinkiewicz , w klas , t tesch , j wasch , p muth","proceedings of the 21st international conference on very & hellip ; ,",,1157
